我是山姆,9.0,292256,爱并不需要智商 。,杰茜·尼尔森,Sean,剧情,美国,2001
哈利·波特与火焰杯,8.7,552487,暂无介绍,迈克·内威尔,丹尼尔·雷德克里夫,悬疑,英国,2005
七武士,9.3,172921,时代悲歌。,黑泽明,三船敏郎,动作,日本,1954
新世界,8.9,346216,要做就做得狠一点，这样才能活下去。,朴勋政,李政宰,剧情,韩国,2013
喜宴,8.9,309312,中国家庭的喜怒哀乐忍。,李安,赵文瑄,剧情,中国台湾,1993
模仿游戏,8.7,560823,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,莫滕·泰杜姆,本尼迪克特·康伯巴奇,剧情,英国,2014
黑客帝国3：矩阵革命,8.8,403002,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,信息不全,信息不全,信息不全,信息不全,信息不全
电锯惊魂,8.7,469369,真相就在眼前。,詹姆斯·温,雷·沃纳尔,悬疑,美国,2004
花样年华,8.7,524918,偷情本没有这样美。,王家卫,梁朝伟,剧情,中国香港,2000
三块广告牌,8.7,740864,怼天怼地，你走后，她与世界为敌。,马丁·麦克唐纳,弗兰西斯·麦克多蒙德,剧情,美国,2017
卢旺达饭店,8.9,288936,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治,唐·钱德尔,剧情,英国,2004
头脑特工队,8.8,536470,愿我们都不用长大，每一座城堡都能永远存在。,信息不全,信息不全,信息不全,信息不全,信息不全
你的名字。,8.5,1239843,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,新海诚,神木隆之介,剧情,日本,2016
疯狂原始人,8.7,762619,老少皆宜，这就是好莱坞动画的魅力。,信息不全,信息不全,信息不全,信息不全,信息不全
上帝之城,9.0,273730,被上帝抛弃了的上帝之城。,信息不全,信息不全,信息不全,信息不全,信息不全
达拉斯买家俱乐部,8.8,404296,Jared Leto的腿比女人还美！,让-马克·瓦雷,马修·麦康纳,剧情,美国,2013
谍影重重3,8.8,378082,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯,马特·达蒙,动作,美国,2007
风之谷,8.9,325248,动画片的圣经。,宫崎骏,岛本须美,动画,日本,1984
英雄本色,8.6,471054,英雄泪短，兄弟情长。 ,吴宇森,周润发,剧情,中国香港,1986
心迷宫,8.7,453985,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤,霍卫民,剧情,中国大陆,2014
纵横四海,8.8,371442,香港浪漫主义警匪动作片的巅峰之作。,吴宇森,周润发,剧情,中国香港,1991
惊魂记,9.0,241653,故事的反转与反转，分裂电影的始祖。,阿尔弗雷德·希区柯克,安东尼·博金斯,悬疑,美国,1960
岁月神偷,8.7,532260,岁月流逝，来日可追。,罗启锐,吴君如,剧情,中国香港,2010
九品芝麻官,8.6,572412,暂无介绍,王晶,周星驰,剧情,中国香港,1994
记忆碎片,8.7,546327,一个针管引发的血案。,克里斯托弗·诺兰,盖·皮尔斯,犯罪,美国,2000
海街日记,8.8,388465,是枝裕和的家庭习作。,是枝裕和,绫濑遥,剧情,日本,2015
忠犬八公物语,9.2,171773,养狗三日，便会对你终其一生。,Seijirô,山本圭,剧情,日本,1987
荒蛮故事,8.8,392752,始于荒诞，止于更荒诞。,达米安·斯兹弗隆,达里奥·葛兰帝内提,剧情,阿根廷,2014
绿里奇迹,8.9,281596,天使暂时离开。,Frank,汤姆·汉克斯,犯罪,美国,1999
爆裂鼓手,8.7,512051,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米恩·查泽雷,迈尔斯·特勒,剧情,美国,2014
爱在午夜降临前,8.8,335782,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特,伊桑·霍克,剧情,美国,2013
贫民窟的百万富翁,8.6,678709,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔,戴夫...<br/>,剧情,英国,2008
真爱至上,8.6,659732,爱，是个动词。,理查德·柯蒂斯,休·格兰特,喜剧,英国,2003
小偷家族,8.7,740974,我们组成了家。,是枝裕和,中川雅也,剧情,日本,2018
东邪西毒,8.6,523245,电影诗。,王家卫,张国荣,剧情,中国香港,1994
无敌破坏王,8.7,476971,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔,约翰·C·赖利,喜剧,美国,2012
疯狂的石头,8.5,726610,中国版《两杆大烟枪》。,宁浩,郭涛,喜剧,中国大陆,2006
色，戒,8.6,656510,假戏真情，爱欲深海,李安,梁朝伟,剧情,中国台湾,2007
冰川时代,8.6,552861,松鼠才是角儿。,信息不全,信息不全,信息不全,信息不全,信息不全
